epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc,val_tp,val_fp,val_fn,val_tn,lr,time_sec
1,0.3554688355528956,0.8305468258956631,0.14709358468981576,0.943158953722334,0.942713567839196,0.9436619718309859,0.9431875314228255,0.012951451161698602,1876,114,112,1874,9.755282581475769e-05,180.7181224822998
2,0.13802948999449863,0.9482715273412948,0.11054828373239314,0.9585010060362174,0.9559779889944973,0.9612676056338029,0.9586155003762227,0.00764825370735478,1911,88,77,1900,9.045084971874737e-05,164.64533925056458
3,0.08698053455049327,0.9685732243871779,0.12097835338391529,0.9590040241448692,0.9681888147768086,0.9491951710261569,0.9585979171958343,0.008294738248403877,1887,62,101,1926,7.938926261462366e-05,164.4670283794403
4,0.056872547116296836,0.9801382778126965,0.1164029604067625,0.9582494969818913,0.961499493414387,0.954728370221328,0.9581019687026754,0.007729728471432162,1898,76,90,1912,6.545084971874737e-05,164.41401267051697
5,0.038159636693984963,0.9868007542426147,0.14165419852829556,0.954979879275654,0.9524762381190596,0.9577464788732394,0.9551040882869325,0.009272435417333025,1904,95,84,1893,4.9999999999999996e-05,164.4902582168579
6,0.025873868096014573,0.9920175989943432,0.11214744930775833,0.9595070422535211,0.9547038327526133,0.9647887323943662,0.9597197898423819,0.006448651668562677,1918,91,70,1897,3.454915028125263e-05,160.94688439369202
7,0.013712472728046599,0.9958516656191074,0.1471670651892706,0.9610160965794768,0.9575636545182227,0.9647887323943662,0.9611626158857429,0.008751452376229207,1918,85,70,1903,2.0610737385376345e-05,157.96549272537231
8,0.010685552767109733,0.9964802011313639,0.13177913303488878,0.9625251509054326,0.95952023988006,0.96579476861167,0.9626472800200552,0.006764682663384702,1920,81,68,1907,9.549150281252631e-06,157.98674607276917
9,0.007915248353713872,0.9979258328095537,0.12166014121671093,0.9632796780684104,0.9623493975903614,0.9642857142857143,0.9633165829145729,0.005876810156714929,1917,75,71,1913,2.447174185242323e-06,158.0338635444641
10,0.00574659565570492,0.9986800754242615,0.11996444217744517,0.9632796780684104,0.9642137096774194,0.9622736418511066,0.9632426988922457,0.005734355833188265,1913,71,75,1917,0.0,158.0506672859192
